epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3878,1.14422,3.042,1.34429,0.00984,0.75694,0.23945,0.16734,0.93371,3.08904,1.24654,0.00013336,0.00013336,0.00013336
2,197.292,1.125,2.63893,1.35688,0.00932,0.72373,0.33081,0.2241,0.97298,3.06278,1.25751,0.000227279,0.000227279,0.000227279
3,293.569,1.09655,2.3684,1.38908,0.00936,0.72848,0.39643,0.27472,0.96536,2.97779,1.26023,0.000261786,0.000261786,0.000261786
4,400.258,1.08055,2.03888,1.3186,0.00937,0.72883,0.4112,0.28324,0.99174,2.88853,1.28396,0.000236881,0.000236881,0.000236881
5,491.954,1.08124,1.9377,1.36128,0.01075,0.82416,0.45659,0.32049,0.95401,2.78887,1.24744,0.000152564,0.000152564,0.000152564
