epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4015.89,1.03382,0.88315,1.22622,0.7736,0.86465,0.83831,0.58364,1.14107,0.9275,1.37779,0.000185953,0.000185953,0.000185953
43,4112.76,1.02547,0.86815,1.22623,0.80133,0.85236,0.84416,0.58801,1.11858,0.89038,1.36313,0.000182855,0.000182855,0.000182855
44,4209.76,1.02614,0.87306,1.23307,0.81018,0.81595,0.84159,0.58172,1.13596,0.90956,1.36493,0.000179756,0.000179756,0.000179756
45,4306.73,1.01921,0.86728,1.22586,0.79591,0.84888,0.84581,0.58984,1.13946,0.92921,1.36597,0.000176657,0.000176657,0.000176657
46,4404.87,1.01251,0.85115,1.21695,0.78679,0.86288,0.84804,0.59423,1.15167,0.89628,1.38809,0.000173559,0.000173559,0.000173559
47,4501.91,1.0201,0.84217,1.22621,0.82185,0.84661,0.84505,0.59581,1.14481,0.89002,1.38891,0.00017046,0.00017046,0.00017046
48,4600.56,1.0022,0.82771,1.20779,0.8159,0.85625,0.84816,0.58686,1.15466,0.88352,1.38777,0.000167361,0.000167361,0.000167361
49,4699,1.00035,0.83493,1.21588,0.77567,0.84496,0.83218,0.5892,1.11628,0.90722,1.36188,0.000164262,0.000164262,0.000164262
50,4796.19,0.98756,0.8139,1.2106,0.80232,0.85875,0.84199,0.58735,1.15766,0.88007,1.39975,0.000161164,0.000161164,0.000161164
51,4893.82,0.9941,0.81913,1.20721,0.81479,0.84268,0.84395,0.59641,1.12351,0.88272,1.36549,0.000158065,0.000158065,0.000158065
52,4991.59,0.99,0.8044,1.20262,0.80431,0.84838,0.84306,0.58409,1.14499,0.89521,1.38904,0.000154966,0.000154966,0.000154966
53,5084.48,0.98574,0.80868,1.20737,0.80924,0.85199,0.84217,0.58515,1.13881,0.89233,1.3785,0.000151868,0.000151868,0.000151868
54,5178.98,0.98766,0.78718,1.20197,0.79439,0.86527,0.84716,0.59551,1.13968,0.89301,1.38541,0.000148769,0.000148769,0.000148769
55,5274.24,0.98633,0.79327,1.20456,0.78694,0.85141,0.84569,0.59473,1.14208,0.90354,1.39234,0.00014567,0.00014567,0.00014567
